REFERENCE1,DOI,YEAR_OBS,YEAR_PUB
 Cuevas__E._1986._Oecologia_68:466-472,NA,,
 Cuevas__E._1991._Plant_and_Soil_135:257-268,NA,,
 Cunningham__R.K._1963_J_Soil_Science_14:334-345,NA,,
 Day__Jr.__Frank_P._1982._Ecology_63(3):_670-678.,10.2307/1936787 ,,
 Debano_and_Conrad._1978._Ecology_59:489-497.,NA,,
 Delghi_G._Ewel_K_&_Mitsch_W._1980_J_of_Appl_Ecol_17:397-408,NA,,
 Devineau__J._1976._Oecologie_Plantarum_11:375-395,NA,,
 Dimock_II__E.J._1958._Northwest_Scu__32:1:19-29.,NA,,
 Dolan__R.W._1989._American_Midland_Naturalist_122:329-338,NA,,
 Domingos__M._1990_Hoehnea_17(1):47-58,NA,,
 Dommergues__Y._1963._Bois_et_Forets_des_Tropiques._87:9-25,NA,,
 Drew__W.B.__1978__Forest_Research_Bulletin__56__1-30,NA,,
 Duvigneaud__P.__Denaeyer__S._1977._Sympm_on_Prim_Prod_&_Min_Cyc__UofME_167-186,NA,,
 Ebermayer__E._1876._Lehre_der_Waldstreu.,NA,,
 Edwards__P._1977_J._of_Ecology_65:971-992,NA,,
 Egunjobi__J._&_Onweluzo__B._1979._Biotropica_11(4):251-255,NA,,
 Elagin__I._N._1986._Ekologiya_0(4):14-19,NA,,
 Emmerson__W.D._1992._Journal_of_Experimental_Marine_Biology_and_Ecology_157:41-53,NA,,
 Enright__N_1979._Malaysian_Forester._42:202-207,NA,,
 Ewel__K.__1987__Canadian_Journal_of_Forestry__17__325-329,NA,,
 Ewel__K.C._1987._Biological_Sciences_50(4):216-222,NA,,
 Facelli__J.M._1991_Bulletin_of_the_Torrey_Botanical_Club_118(1):62-66,NA,,
 Fahey__Timothy._1983._Ecological_Monographs._51-72,NA,,
 Federer__C.A._1983.__Soil_Science_of_Amer._J._47:5:1008-1014,NA,,
 Feller__M.C._1980._Aust._J._of_Ecology_5:309-333,NA,,
 Finn__R.F._1943._Black_Rock_Forest_Papers._21:128-134,NA,,
 Fogel__R.__1983__Canadian_Journal_of_Forest_Research__13__219-232,NA,,
 Folster__G._Salas__D._and_Khanna_P._1976_Oecologia_Plantarum_11:297-320,NA,,
 Foster__N.W._1974._Can._J._For._Res._4:470-476.,NA,,
 Fournier__L.__1973__Rev._Biol._Trop.__21__59-67,NA,,
 Fox__B._et_al._1979_Australian_J._of_Botany_27:157-165,NA,,
 Franken__M._1979._Tropical_Ecology._20:211-224,NA,,
 Franken__M._Irmler__U.&_Klinge__H._1979_Tropical_Ecology_20:225-235,NA,,
 Frankie__et.al.__1974_&_Gessel__et.al.__1977,NA,,
 Frankie__et.al.__1974_J.Ecology_62:881-919__&_Gessel__et.al.__1977,NA,,
 Freedman__B.__Duinker__P.N.__Morash__R._1986_Forest_Ecol._and_Manag._15:103-127,NA,,
 Fried__J.S.__et.al.__1990._Candian_Journal_of_Forest_Reseach.__20:259-266,NA,,
 Furtado__J._Verghese__S._Liew__K._Lee__T._1980_Trop_Ecol_&_Dev._815-822,NA,,
